-1016, 1419, 822
-1113, 1246, 867
-1260, 1073, 934
-1469, 894, 1089
-1582, 536, 1265
-1574, -4, 1425
-1591, -495, 1701
-1585, -784, 1692
-1531, -956, 1407
-1444, -1029, 1172
-1267, -1068, 967
-1023, -1173, 712
-768, -1273, 501
-567, -1287, 306
-375, -1283, 190
-175, -1196, 168
4, -1034, 191
159, -876, 210
274, -648, 236
338, -345, 183
409, -127, 196
409, -127, 196
482, 77, 161
463, 371, 105
341, 690, 114
117, 1042, 195
-211, 1426, 282
-211, 1426, 282
-,-,-
-332, -389, 147
-159, -475, 178
0, -598, 341
116, -415, 242
116, -415, 242
177, -238, 373
208, -30, 424
158, 296, 387
-9, 691, 508
-239, 1037, 613
-513, 1346, 684
-513, 1346, 684
-791, 1642, 708
-1018, 1812, 774
-1209, 1891, 771
-1346, 1838, 822
-1388, 1607, 947
-1413, 1260, 1052
-1432, 824, 1224
-1457, 250, 1481
-1481, -360, 1797
-1459, -776, 1776
-1406, -1018, 1515
-1362, -1047, 1158
-1317, -1016, 936
-1187, -1003, 818
-777, -1022, 504
-628, -947, 390
-628, -947, 390
-477, -893, 395
-296, -826, 346
-123, -740, 288
25, -656, 229
163, -572, 190
274, -445, 117
335, -246, 0
335, -246, 0
375, -40, -22
401, 102, 1
353, 366, -71
231, 651, 61
231, 651, 61
-8, 1039, 237
-,-,-
-86, -388, 89
-86, -388, 89
25, -390, 125
153, -299, 71
223, -138, 140
190, 119, 267
87, 405, 324
87, 405, 324
-75, 701, 430
-263, 938, 578
-534, 1244, 672
-803, 1480, 753
-1041, 1645, 826
-1288, 1741, 949
-1474, 1699, 1121
-1519, 1523, 1273
-1464, 1153, 1368
-1366, 631, 1396
-1368, 111, 1593
-1468, -224, 1758
-1437, -546, 1680
-1344, -850, 1451
-1306, -944, 1158
-1225, -1009, 1044
-1054, -1042, 921
-845, -1098, 726
-609, -1157, 482
-402, -1131, 289
-191, -1054, 203
-3, -931, 118
160, -825, 76
160, -825, 76
274, -672, 68
368, -485, 8
452, -325, -14
487, -163, 17
439, 76, -17
439, 76, -17
363, 248, 39
-,-,-
-272, -150, 407
-147, -118, 254
-107, 14, 53
-145, 321, 206
-187, 505, 572
-187, 505, 572
-254, 835, 547
-313, 1077, 594
-466, 1319, 780
-686, 1536, 864
-833, 1615, 825
-916, 1558, 846
-1017, 1420, 829
-1198, 1272, 877
-1420, 1134, 1071
-1533, 895, 1206
-1497, 373, 1388
-1435, -205, 1838
-1394, -529, 1856
-1322, -795, 1519
-1224, -939, 1133
-1104, -1040, 849
-982, -1129, 638
-882, -1177, 587
-756, -1137, 455
-607, -1153, 321
-482, -1126, 256
-403, -1046, 256
-307, -964, 308
-176, -850, 304
-53, -725, 256
52, -534, 158
52, -534, 158
96, -290, 175
90, 33, 152
60, 309, 165
60, 309, 165
50, 470, 180
32, 634, 91
-,-,-
-183, -369, 146
-64, -304, 198
21, -152, 26
21, -152, 26
32, 116, 101
-50, 457, 233
-182, 749, 359
-345, 1037, 484
-583, 1318, 668
-583, 1318, 668
-801, 1513, 820
-949, 1612, 827
-1033, 1524, 770
-1170, 1406, 717
-1270, 1242, 812
-1318, 1109, 896
-1303, 896, 1020
-1371, 550, 1188
-1525, 50, 1377
-1518, -487, 1462
-1503, -828, 1418
-1439, -1035, 1211
-1379, -1141, 1026
-1268, -1151, 974
-1082, -1176, 960
-826, -1232, 695
-588, -1279, 455
-391, -1226, 294
-269, -1080, 235
-145, -904, 219
-35, -701, 113
40, -526, 62
48, -283, 53
17, -42, 80
17, -42, 80
16, 139, 119
47, 300, 93
47, 300, 93
65, 435, 66
48, 554, 82
31, 627, 101
31, 627, 101
-9, 721, 98
-117, 854, 193
-293, 998, 386
-602, 1174, 590
-,-,-
-553, -361, 217
-503, -196, 137
-326, -265, 122
-326, -265, 122
-128, -340, 157
-137, -19, 380
-223, 475, 411
-239, 674, 450
-203, 732, 419
-186, 792, 358
-241, 925, 444
-297, 1013, 621
-297, 1013, 621
-380, 1144, 597
-488, 1216, 617
-585, 1239, 784
-660, 1242, 832
-797, 1224, 903
-993, 1296, 999
-1178, 1368, 1188
-1350, 1284, 1318
-1518, 1042, 1600
-1657, 480, 1799
-1694, -230, 1808
-1697, -900, 1817
-1642, -1278, 1625
-1525, -1431, 1380
-1280, -1516, 1147
-911, -1571, 845
-547, -1595, 492
-206, -1572, 376
56, -1398, 334
249, -1061, 99
326, -652, -12
393, -234, -57
461, 154, -159
431, 454, -215
431, 454, -215
